Год,Номер недели,Денситометр,КТ,КТ с КУ 1 зона,КТ с КУ 2 и более зон,ММГ,МРТ,МРТ с КУ 1 зона,МРТ с КУ 2 и более зон,РГ,Флюорограф
2023,26,1854,4780,683,825,17448,2182,924,6,62669,19070
2023,27,1414,4092,692,781,16853,2056,956,9,60799,18422
2023,28,1456,4028,586,654,16214,2061,922,6,57980,17377
2023,29,1425,4021,572,771,15220,1997,960,9,55189,16315
2023,30,1499,4125,621,765,15390,2033,984,5,55895,16022
2023,31,1500,3227,537,717,14380,1872,855,18,55461,15453
2023,32,1539,3225,501,625,15513,1532,690,11,57958,15356
2023,33,1433,3076,438,594,15969,1762,751,14,60121,16525
2023,34,1480,3102,510,591,16546,1678,792,16,62771,17133
2023,35,1487,3572,495,634,17260,1668,752,15,65026,17528
2023,36,1481,3835,521,679,16384,1758,786,11,65924,17111
2023,37,1474,4038,495,670,17013,1680,790,8,70998,16406
2023,38,1158,4535,522,709,13292,1713,762,17,57632,12669
2023,39,1633,4465,567,744,18131,1783,780,10,75766,16807
2023,40,1625,4610,642,821,18510,2168,889,9,75385,16645
2023,41,1722,4847,701,873,18855,2214,893,15,77244,15505
2023,42,1807,4948,667,788,19398,2360,889,16,80582,17322
2023,43,1828,4938,646,903,19975,2378,967,17,81841,16694
2023,44,1810,4783,686,907,19885,2223,936,16,77787,16675
2023,45,1956,4835,578,800,17952,2321,853,21,75167,13751
2023,46,1995,4847,614,784,21204,2366,962,15,86118,16283
2023,47,2002,4490,615,800,20680,2256,906,14,84809,16578
2023,48,1885,4473,650,743,20097,2266,889,13,85952,14062
2023,49,1902,4293,658,782,18940,2367,933,16,89244,13192
2023,50,1895,4764,701,765,18092,2098,995,22,89340,11240
2023,51,1726,4087,473,523,16615,1681,863,18,90770,8533
2023,52,1294,3313,491,476,14856,1327,715,11,81751,5979
2024,1,84,950,70,73,1185,544,131,1,16148,241
2024,2,1427,3317,431,369,13964,1461,593,12,80644,5394
2024,3,1816,3939,563,518,17769,1712,809,17,98705,6580
2024,4,2102,4533,533,566,18770,1878,755,17,99858,7591
